Year,SERIES,UNIT_MEASURE,Spol,Value
2021,SH_STA_TRAF,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,13.7
2021,SH_STA_TRAFN,Broj,Oba spola ili bez podjele po spolu,447.0
