Year,SERIES,UNIT_MEASURE,Godine,Value
2000,SH_STA_STNTN,Hiljade,Ispod 5 godina,29.0
2001,SH_STA_STNTN,Hiljade,Ispod 5 godina,27.0
2002,SH_STA_STNTN,Hiljade,Ispod 5 godina,25.7
2003,SH_STA_STNTN,Hiljade,Ispod 5 godina,24.2
2004,SH_STA_STNTN,Hiljade,Ispod 5 godina,23.0
2005,SH_STA_STNTN,Hiljade,Ispod 5 godina,22.2
2006,SH_STA_STNTN,Hiljade,Ispod 5 godina,21.5
2007,SH_STA_STNTN,Hiljade,Ispod 5 godina,21.1
2008,SH_STA_STNTN,Hiljade,Ispod 5 godina,20.4
2009,SH_STA_STNTN,Hiljade,Ispod 5 godina,19.4
2010,SH_STA_STNTN,Hiljade,Ispod 5 godina,18.4
2011,SH_STA_STNTN,Hiljade,Ispod 5 godina,17.5
2012,SH_STA_STNTN,Hiljade,Ispod 5 godina,16.5
2013,SH_STA_STNTN,Hiljade,Ispod 5 godina,15.8
2014,SH_STA_STNTN,Hiljade,Ispod 5 godina,15.1
2015,SH_STA_STNTN,Hiljade,Ispod 5 godina,14.6
2016,SH_STA_STNTN,Hiljade,Ispod 5 godina,14.1
2017,SH_STA_STNTN,Hiljade,Ispod 5 godina,13.7
2018,SH_STA_STNTN,Hiljade,Ispod 5 godina,13.5
2019,SH_STA_STNTN,Hiljade,Ispod 5 godina,13.3
2020,SH_STA_STNTN,Hiljade,Ispod 5 godina,12.9
2021,SH_STA_STNTN,Hiljade,Ispod 5 godina,12.5
2022,SH_STA_STNTN,Hiljade,Ispod 5 godina,11.9
2000,SH_STA_STNT,Procenat,Ispod 5 godina,12.4
2001,SH_STA_STNT,Procenat,Ispod 5 godina,11.8
2002,SH_STA_STNT,Procenat,Ispod 5 godina,11.6
2003,SH_STA_STNT,Procenat,Ispod 5 godina,11.4
2004,SH_STA_STNT,Procenat,Ispod 5 godina,11.3
2005,SH_STA_STNT,Procenat,Ispod 5 godina,11.2
2006,SH_STA_STNT,Procenat,Ispod 5 godina,11.1
2007,SH_STA_STNT,Procenat,Ispod 5 godina,11.0
2008,SH_STA_STNT,Procenat,Ispod 5 godina,10.8
2009,SH_STA_STNT,Procenat,Ispod 5 godina,10.4
2010,SH_STA_STNT,Procenat,Ispod 5 godina,10.0
2011,SH_STA_STNT,Procenat,Ispod 5 godina,9.6
2012,SH_STA_STNT,Procenat,Ispod 5 godina,9.2
2013,SH_STA_STNT,Procenat,Ispod 5 godina,8.9
2014,SH_STA_STNT,Procenat,Ispod 5 godina,8.7
2015,SH_STA_STNT,Procenat,Ispod 5 godina,8.6
2016,SH_STA_STNT,Procenat,Ispod 5 godina,8.5
2017,SH_STA_STNT,Procenat,Ispod 5 godina,8.4
2018,SH_STA_STNT,Procenat,Ispod 5 godina,8.4
2019,SH_STA_STNT,Procenat,Ispod 5 godina,8.3
2020,SH_STA_STNT,Procenat,Ispod 5 godina,8.2
2021,SH_STA_STNT,Procenat,Ispod 5 godina,8.1
2022,SH_STA_STNT,Procenat,Ispod 5 godina,8.0
