Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2000,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,148.84
2001,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,110.64
2002,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,89.28
2003,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,77.11
2004,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,68.84
2005,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,67.7
2006,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,63.24
2007,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,65.86
2008,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,66.22
2009,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,67.1
2010,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,59.15
2011,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,44.81
2012,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,35.35
2013,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,35.17
2014,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,44.6
2015,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,46.32
2016,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,44.38
2017,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,44.86
2018,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,42.47
2019,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,70.94
2020,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,53.08
2021,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Industrije,63.54
2000,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),17.52
2001,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),18.14
2002,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),19.13
2003,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),20.33
2004,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),21.02
2005,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),21.77
2006,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),21.48
2007,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),23.82
2008,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),24.99
2009,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),25.01
2010,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),25.02
2011,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),25.92
2012,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),26.05
2013,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),26.93
2014,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),28.4
2015,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),28.49
2016,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),28.18
2017,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),28.67
2018,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),33.6
2019,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),35.68
2020,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),34.92
2021,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),36.62
2022,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Usluge (G do T),37.4
2020,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Poljoprivreda (ISIC4 A01 A0210 A0322),
2020,Efikasnost upotrebe vode (u američkim dolarima po kubnom metru),USD/m3,Bez podjele,
