Year,SERIES,UNIT_MEASURE,Value
2010,Indeks potrošačkih cijena hrane,Index,-1.15
2011,Indeks potrošačkih cijena hrane,Index,0.5
2012,Indeks potrošačkih cijena hrane,Index,-0.13
2013,Indeks potrošačkih cijena hrane,Index,-0.42
2014,Indeks potrošačkih cijena hrane,Index,-0.55
2015,Indeks potrošačkih cijena hrane,Index,0.09
2016,Indeks potrošačkih cijena hrane,Index,0.04
2017,Indeks potrošačkih cijena hrane,Index,0.42
2018,Indeks potrošačkih cijena hrane,Index,-0.61
2019,Indeks potrošačkih cijena hrane,Index,0.4
2020,Indeks potrošačkih cijena hrane,Index,1.27
2021,Indeks potrošačkih cijena hrane,Index,0.84
2022,Indeks potrošačkih cijena hrane,Index,2.91
2023,Indeks potrošačkih cijena hrane,Index,0.93
