Year,SERIES,UNIT_MEASURE,Nivo zahtjeva,Value
2020,"Broj kompanija koje objavljuju izvještaje o održivosti s objavom po dimenzijama, prema nivou zahtjeva",Broj,Napedan,
2020,"Broj kompanija koje objavljuju izvještaje o održivosti s objavom po dimenzijama, prema nivou zahtjeva",Broj,Minimalan,
