Year,UNIT_MEASURE,Tip,Value
a)2019 Q1,OOOt,Prеvеzеnо tоnа rоbе,2149
b)2019 Q2,OOOt,Prеvеzеnо tоnа rоbе,2210
c)2019 Q3,OOOt,Prеvеzеnо tоnа rоbе,2532
d)2019 Q4,OOOt,Prеvеzеnо tоnа rоbе,2336
e)2020 Q1,OOOt,Prеvеzеnо tоnа rоbе,1973
f)2020 Q2,OOOt,Prеvеzеnо tоnа rоbе,2007
g)2020 Q3,OOOt,Prеvеzеnо tоnа rоbе,2310
h)2020 Q4,OOOt,Prеvеzеnо tоnа rоbе,2232
