Year,SERIES,UNIT_MEASURE,Godine,Value
2010,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,34.1
2011,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,37.98
2012,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,41.22
2013,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,44.45
2014,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,46.78
2015,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,50.03
2016,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,50.69
2017,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,52.17
2018,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,54.2
2019,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,56.79
2020,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,57.05
2021,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,57.99
2022,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,59.54
2023,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,62.12
2024,Broj automatizovanih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,64.21
2010,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,30.58
2011,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,31.63
2012,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,31.49
2013,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,32.33
2014,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,33.26
2015,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,30.5
2016,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.26
2017,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.49
2018,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.63
2019,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.26
2020,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.42
2021,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.74
2022,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.21
2023,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,28.9
2024,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.25
