Year,SERIES,UNIT_MEASURE,Godine,Value
2009,Udio radne snage u BDP-u,Procenat,15 godina i više,56.7
2010,Udio radne snage u BDP-u,Procenat,15 godina i više,55.9
2011,Udio radne snage u BDP-u,Procenat,15 godina i više,55.9
2012,Udio radne snage u BDP-u,Procenat,15 godina i više,57.7
2013,Udio radne snage u BDP-u,Procenat,15 godina i više,56.4
2014,Udio radne snage u BDP-u,Procenat,15 godina i više,55.4
2015,Udio radne snage u BDP-u,Procenat,15 godina i više,55.1
2016,Udio radne snage u BDP-u,Procenat,15 godina i više,53.6
2017,Udio radne snage u BDP-u,Procenat,15 godina i više,53.1
2018,Udio radne snage u BDP-u,Procenat,15 godina i više,51.5
2019,Udio radne snage u BDP-u,Procenat,15 godina i više,52.8
2020,Udio radne snage u BDP-u,Procenat,15 godina i više,54.4
2021,Udio radne snage u BDP-u,Procenat,15 godina i više,52.3
2022,Udio radne snage u BDP-u,Procenat,15 godina i više,54.6
2023,Udio radne snage u BDP-u,Procenat,15 godina i više,54.5
2024,Udio radne snage u BDP-u,Procenat,15 godina i više,54.4
