Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2010,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,1.6
2011,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,1.78
2012,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,1.8
2013,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,2.11
2014,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,1.91
2015,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,2.0
2016,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,1.9
2017,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,2.0
2018,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,2.23
2019,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,2.18
2020,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,1.29
2021,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,1.53
2022,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,1.49
2023,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,1.25
2010,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,20.48
2011,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,23.4
2012,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,21.65
2013,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,21.51
2014,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,19.19
2015,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,19.32
2016,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,22.04
2017,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,22.35
2018,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,22.24
2019,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,20.76
2020,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,20.52
2021,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,20.7
2022,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,20.6
2023,Emisije ugljičnog dioksida iz sagorijevanja goriva (milioni tona),Milioni tona,Bez podjele,19.09
2006,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.677
2007,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.655
2008,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.651
2009,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.732
2010,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.803
2011,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.894
2012,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.912
2013,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,1.018
2014,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.883
2015,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.869
2016,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.782
2017,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.756
2018,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.833
2019,Emisije ugljen-dioksida iz proizvodnih industrija po jedinici dodane proizvodne vrijednosti (kilogrami CO2 po konstantnom kursu američkih dolara iz 2020. godine),Kilogrami po konstanti američkog dolara,Proizvodnja,0.814
