Year,SERIES,UNIT_MEASURE,Spol,Value
2019,"Udio pojedinaca koji posjeduju mobilni telefon, po spolu (%)",Procenat,Oba pola,77.2
2020,"Udio pojedinaca koji posjeduju mobilni telefon, po spolu (%)",Procenat,Oba pola,82.4
2021,"Udio pojedinaca koji posjeduju mobilni telefon, po spolu (%)",Procenat,Oba pola,84.2
2022,"Udio pojedinaca koji posjeduju mobilni telefon, po spolu (%)",Procenat,Oba pola,85.7
2013,"Udio pojedinaca koji posjeduju mobilni telefon, po spolu (%)",Procenat,Oba pola,87.9
