Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2000,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,360.82166
2001,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,359.48139
2002,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,359.1836
2003,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,360.46549
2004,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,371.2894
2005,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,375.71774
2006,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,379.07033
2007,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,383.81926
2008,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,397.85545
2009,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,404.59029
2010,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,445.68926
2011,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,454.31432
2012,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,463.08759
2013,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,470.87276
2014,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,481.23811
2015,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,489.57275
2016,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,510.1026
2017,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,525.66448
2018,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,554.6819
2019,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,574.40226
2020,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,588.47212
2021,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,623.21477
2022,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,646.18469
2000,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2001,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2002,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2003,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2004,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2005,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2006,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2007,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2008,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2009,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2010,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2011,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2012,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2013,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2014,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2015,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2016,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.28727
2017,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.2907
2018,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.36469
2019,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.6576
2020,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.63585
2021,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,3.12142
2022,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,3.15754
2000,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2001,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2002,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2003,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2004,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2005,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2006,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2007,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2008,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2009,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2010,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2011,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2012,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2013,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2014,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2015,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2016,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2017,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2018,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2019,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2020,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2021,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2022,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2000,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,360.82166
2001,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,359.48139
2002,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,359.1836
2003,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,360.44158
2004,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,371.24112
2005,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,375.64446
2006,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,378.9964
2007,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,383.74441
2008,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,397.77937
2009,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,404.51293
2010,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,445.61054
2011,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,454.15402
2012,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,462.91096
2013,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,470.41969
2014,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,479.14741
2015,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,487.16945
2016,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,505.67282
2017,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,520.63545
2018,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,533.97974
2019,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,541.20691
2020,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,551.10479
2021,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,561.54448
2022,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,568.04244
2000,Instalisani kapaciteti za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
