Year,SERIES,UNIT_MEASURE,Stepen urbanizacije,Value
2000,EG_ACS_ELEC,Procenat,Sva područja,100.0
2001,EG_ACS_ELEC,Procenat,Sva područja,99.4
2002,EG_ACS_ELEC,Procenat,Sva područja,98.5
2003,EG_ACS_ELEC,Procenat,Sva područja,100.0
2004,EG_ACS_ELEC,Procenat,Sva područja,100.0
2005,EG_ACS_ELEC,Procenat,Sva područja,100.0
2006,EG_ACS_ELEC,Procenat,Sva područja,99.4
2007,EG_ACS_ELEC,Procenat,Sva područja,99.7
2008,EG_ACS_ELEC,Procenat,Sva područja,100.0
2009,EG_ACS_ELEC,Procenat,Sva područja,100.0
2010,EG_ACS_ELEC,Procenat,Sva područja,100.0
2011,EG_ACS_ELEC,Procenat,Sva područja,99.7
2012,EG_ACS_ELEC,Procenat,Sva područja,100.0
2013,EG_ACS_ELEC,Procenat,Sva područja,99.5
2014,EG_ACS_ELEC,Procenat,Sva područja,100.0
2015,EG_ACS_ELEC,Procenat,Sva područja,99.7
2016,EG_ACS_ELEC,Procenat,Sva područja,100.0
2017,EG_ACS_ELEC,Procenat,Sva područja,100.0
2018,EG_ACS_ELEC,Procenat,Sva područja,100.0
2019,EG_ACS_ELEC,Procenat,Sva područja,100.0
2020,EG_ACS_ELEC,Procenat,Sva područja,100.0
2021,EG_ACS_ELEC,Procenat,Sva područja,100.0
2022,EG_ACS_ELEC,Procenat,Sva područja,100.0
2000,EG_ACS_ELEC,Procenat,Ruralno,100.0
2001,EG_ACS_ELEC,Procenat,Ruralno,100.0
2002,EG_ACS_ELEC,Procenat,Ruralno,100.0
2003,EG_ACS_ELEC,Procenat,Ruralno,100.0
2004,EG_ACS_ELEC,Procenat,Ruralno,100.0
2005,EG_ACS_ELEC,Procenat,Ruralno,100.0
2006,EG_ACS_ELEC,Procenat,Ruralno,100.0
2007,EG_ACS_ELEC,Procenat,Ruralno,100.0
2008,EG_ACS_ELEC,Procenat,Ruralno,100.0
2009,EG_ACS_ELEC,Procenat,Ruralno,100.0
2010,EG_ACS_ELEC,Procenat,Ruralno,100.0
2011,EG_ACS_ELEC,Procenat,Ruralno,100.0
2012,EG_ACS_ELEC,Procenat,Ruralno,100.0
2013,EG_ACS_ELEC,Procenat,Ruralno,100.0
2014,EG_ACS_ELEC,Procenat,Ruralno,100.0
2015,EG_ACS_ELEC,Procenat,Ruralno,100.0
2016,EG_ACS_ELEC,Procenat,Ruralno,100.0
2017,EG_ACS_ELEC,Procenat,Ruralno,100.0
2018,EG_ACS_ELEC,Procenat,Ruralno,100.0
2019,EG_ACS_ELEC,Procenat,Ruralno,100.0
2020,EG_ACS_ELEC,Procenat,Ruralno,100.0
2021,EG_ACS_ELEC,Procenat,Ruralno,100.0
2022,EG_ACS_ELEC,Procenat,Ruralno,100.0
2000,EG_ACS_ELEC,Procenat,Urbano,100.0
2001,EG_ACS_ELEC,Procenat,Urbano,100.0
2002,EG_ACS_ELEC,Procenat,Urbano,99.3
2003,EG_ACS_ELEC,Procenat,Urbano,100.0
2004,EG_ACS_ELEC,Procenat,Urbano,100.0
2005,EG_ACS_ELEC,Procenat,Urbano,100.0
2006,EG_ACS_ELEC,Procenat,Urbano,99.7
2007,EG_ACS_ELEC,Procenat,Urbano,100.0
2008,EG_ACS_ELEC,Procenat,Urbano,100.0
2009,EG_ACS_ELEC,Procenat,Urbano,100.0
2010,EG_ACS_ELEC,Procenat,Urbano,100.0
2011,EG_ACS_ELEC,Procenat,Urbano,99.8
2012,EG_ACS_ELEC,Procenat,Urbano,100.0
2013,EG_ACS_ELEC,Procenat,Urbano,100.0
2014,EG_ACS_ELEC,Procenat,Urbano,100.0
2015,EG_ACS_ELEC,Procenat,Urbano,100.0
2016,EG_ACS_ELEC,Procenat,Urbano,100.0
2017,EG_ACS_ELEC,Procenat,Urbano,100.0
2018,EG_ACS_ELEC,Procenat,Urbano,100.0
2019,EG_ACS_ELEC,Procenat,Urbano,100.0
2020,EG_ACS_ELEC,Procenat,Urbano,100.0
2021,EG_ACS_ELEC,Procenat,Urbano,100.0
2022,EG_ACS_ELEC,Procenat,Urbano,100.0
