Year,Value,UNIT_MEASURE,SERIES
2000,29.17,PT,NV_IND_TECH
2001,14.99,PT,NV_IND_TECH
2002,14.99,PT,NV_IND_TECH
2003,14.99,PT,NV_IND_TECH
2004,14.99,PT,NV_IND_TECH
2005,14.99,PT,NV_IND_TECH
2006,14.99,PT,NV_IND_TECH
2007,14.99,PT,NV_IND_TECH
2008,14.99,PT,NV_IND_TECH
2009,14.99,PT,NV_IND_TECH
2010,14.99,PT,NV_IND_TECH
2011,16.33,PT,NV_IND_TECH
2012,18.03,PT,NV_IND_TECH
2013,17.2,PT,NV_IND_TECH
2014,17.35,PT,NV_IND_TECH
2015,18.35,PT,NV_IND_TECH
2016,17.18,PT,NV_IND_TECH
2017,17.93,PT,NV_IND_TECH
2018,19.07,PT,NV_IND_TECH
2019,17.63,PT,NV_IND_TECH
2020,17.86,PT,NV_IND_TECH
