Year,Value,UNIT_MEASURE,SERIES
2003,55.25296,PER_1000000_POP,GB_POP_SCIERD
2004,57.20622,PER_1000000_POP,GB_POP_SCIERD
2005,61.47947,PER_1000000_POP,GB_POP_SCIERD
2006,164.63454,PER_1000000_POP,GB_POP_SCIERD
2007,184.46035,PER_1000000_POP,GB_POP_SCIERD
2012,155.65493,PER_1000000_POP,GB_POP_SCIERD
2013,227.61596,PER_1000000_POP,GB_POP_SCIERD
2014,283.18203,PER_1000000_POP,GB_POP_SCIERD
2015,353.12317,PER_1000000_POP,GB_POP_SCIERD
2016,406.14245,PER_1000000_POP,GB_POP_SCIERD
2017,470.16902,PER_1000000_POP,GB_POP_SCIERD
2018,458.03728,PER_1000000_POP,GB_POP_SCIERD
2019,449.22435,PER_1000000_POP,GB_POP_SCIERD
2021,442.83083,PER_1000000_POP,GB_POP_SCIERD
2022,535.00491,PER_1000000_POP,GB_POP_SCIERD
