Year,Value,UNIT_MEASURE,SERIES
2002,0.76408,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2003,0.3775,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2004,4.52786,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2005,0.62212,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2006,1.73031,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2007,0.84677,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2008,3.4281,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2009,4.45086,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2010,12.22774,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2011,1.12991,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2012,2.65861,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2013,1.25009,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2014,1.54574,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2015,0.73102,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2016,4.04798,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2017,19.1582,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2018,11.32789,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2019,18.11849,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
2020,9.20632,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2020 United States dollars)"
