Year,Value,UNIT_MEASURE,SERIES
2000,20.14956,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2001,43.995,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2002,10.70413,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2003,14.67445,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2004,43.89724,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2005,21.00883,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2006,17.06004,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2007,17.24927,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2008,14.73173,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2009,18.19714,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2010,28.96376,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2011,43.96096,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2012,43.37348,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2013,37.77209,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2014,43.69131,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2015,69.51713,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2016,49.68914,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2017,49.65471,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2018,16.94918,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2019,27.85823,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2020,22.61613,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2021,20.40756,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
2022,7.07725,Millions of constant United States dollars,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)"
