Year,Value,UNIT_MEASURE,SERIES
2000,60.0,Percent,Proportion of population covered by at least a 2G mobile network
2001,80.0,Percent,Proportion of population covered by at least a 2G mobile network
2002,90.0,Percent,Proportion of population covered by at least a 2G mobile network
2003,93.0,Percent,Proportion of population covered by at least a 2G mobile network
2004,95.0,Percent,Proportion of population covered by at least a 2G mobile network
2005,97.0,Percent,Proportion of population covered by at least a 2G mobile network
2006,99.0,Percent,Proportion of population covered by at least a 2G mobile network
2007,99.0,Percent,Proportion of population covered by at least a 2G mobile network
2008,99.3,Percent,Proportion of population covered by at least a 2G mobile network
2009,99.5,Percent,Proportion of population covered by at least a 2G mobile network
2010,99.7,Percent,Proportion of population covered by at least a 2G mobile network
2011,99.7,Percent,Proportion of population covered by at least a 2G mobile network
2012,99.8,Percent,Proportion of population covered by at least a 2G mobile network
2013,99.8,Percent,Proportion of population covered by at least a 2G mobile network
2014,99.8,Percent,Proportion of population covered by at least a 2G mobile network
2015,100.0,Percent,Proportion of population covered by at least a 2G mobile network
2016,100.0,Percent,Proportion of population covered by at least a 2G mobile network
2017,100.0,Percent,Proportion of population covered by at least a 2G mobile network
2018,100.0,Percent,Proportion of population covered by at least a 2G mobile network
2019,100.0,Percent,Proportion of population covered by at least a 2G mobile network
2020,100.0,Percent,Proportion of population covered by at least a 2G mobile network
2021,100.0,Percent,Proportion of population covered by at least a 2G mobile network
2009,25.0,Percent,Proportion of population covered by at least a 3G mobile network
2010,60.0,Percent,Proportion of population covered by at least a 3G mobile network
2011,70.0,Percent,Proportion of population covered by at least a 3G mobile network
2012,72.0,Percent,Proportion of population covered by at least a 3G mobile network
2013,90.0,Percent,Proportion of population covered by at least a 3G mobile network
2014,95.0,Percent,Proportion of population covered by at least a 3G mobile network
2015,95.0,Percent,Proportion of population covered by at least a 3G mobile network
2016,95.0,Percent,Proportion of population covered by at least a 3G mobile network
2017,95.0,Percent,Proportion of population covered by at least a 3G mobile network
2018,95.0,Percent,Proportion of population covered by at least a 3G mobile network
2019,95.0,Percent,Proportion of population covered by at least a 3G mobile network
2020,95.0,Percent,Proportion of population covered by at least a 3G mobile network
2021,97.0,Percent,Proportion of population covered by at least a 3G mobile network
2014,0.0,Percent,Proportion of population covered by at least a 4G mobile network
2015,0.0,Percent,Proportion of population covered by at least a 4G mobile network
2016,0.0,Percent,Proportion of population covered by at least a 4G mobile network
2017,0.0,Percent,Proportion of population covered by at least a 4G mobile network
2018,0.0,Percent,Proportion of population covered by at least a 4G mobile network
2019,82.0,Percent,Proportion of population covered by at least a 4G mobile network
2020,82.0,Percent,Proportion of population covered by at least a 4G mobile network
2021,93.0,Percent,Proportion of population covered by at least a 4G mobile network
