Year,Value,UNIT_MEASURE,SERIES
2005,731,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2006,1196,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2007,1281,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2008,1295,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2009,580,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2010,936,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2011,668,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2012,1091,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2013,986,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2014,551,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2015,946,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2016,656,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2017,1008,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2018,993,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2019,691,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2020,789,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2021,1093,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
2022,448,Milijuni tekućih američkih dolara,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)"
