Year,Value,UNIT_MEASURE,SERIES
2018,1,Broj,Zemlje sa sistemima za praćenje i izdvajanje javnih sredstava za rodnu ravnopravnost i osnaživanje žena (0 = ne ispunjava zahtjev; 1 = pristupilo je zahtjevu; 2 = u potpunosti ispunjava zahtjev)
2021,1,Broj,Zemlje sa sistemima za praćenje i izdvajanje javnih sredstava za rodnu ravnopravnost i osnaživanje žena (0 = ne ispunjava zahtjev; 1 = pristupilo je zahtjevu; 2 = u potpunosti ispunjava zahtjev)
