Year,Value,UNIT_MEASURE,SERIES
2010,-1.158,Index,Indeks potrošačkih cijena hrane
2011,0.404,Index,Indeks potrošačkih cijena hrane
2012,-0.197,Index,Indeks potrošačkih cijena hrane
2013,-0.415,Index,Indeks potrošačkih cijena hrane
2014,-0.612,Index,Indeks potrošačkih cijena hrane
2015,-0.025,Index,Indeks potrošačkih cijena hrane
2016,-0.056,Index,Indeks potrošačkih cijena hrane
2017,0.281,Index,Indeks potrošačkih cijena hrane
2018,-0.582,Index,Indeks potrošačkih cijena hrane
2019,0.281,Index,Indeks potrošačkih cijena hrane
2020,1.085,Index,Indeks potrošačkih cijena hrane
