Year,SERIES,UNIT_MEASURE,Value
2002,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2003,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2004,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2005,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,0.6115
2006,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2007,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2008,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2009,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2010,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,12.1442
2011,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2012,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2013,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2014,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2015,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,0.8117
2016,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2017,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2018,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,11.2733
2019,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2020,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
2021,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,
