Year,SERIES,UNIT_MEASURE,Value
2010,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,1.24097
2011,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,1.45052
2012,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,1.61815
2013,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,2.11554
2014,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,1.92972
2015,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,2.23381
2016,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,1.79994
2017,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,2.87315
2018,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,4.16349
2019,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,5.15743
2020,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,3.48353
2021,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,3.36321
2022,"Total official flows for scholarships, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,2.8129
