Year,SERIES,UNIT_MEASURE,Value
2000,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,144.998375
2001,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,148.152951
2002,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,72.477524
2003,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,67.152718
2004,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,174.40491
2005,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,115.333942
2006,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,60.697177
2007,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,49.177688
2008,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,120.241041
2009,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,313.513518
2010,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,400.148916
2011,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,402.328354
2012,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,503.505481
2013,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,503.102272
2014,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,448.323311
2015,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,329.215132
2016,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,355.291126
2017,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,287.598142
2018,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,280.342752
2019,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,396.367073
2020,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,552.64742
2021,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,502.431713
2022,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,343.867054
2023,"Total official flows for infrastructure, by recipient countries (millions of constant 2023 United States dollars)",Constant USD,307.860429
