Year,SERIES,UNIT_MEASURE,Level of requirement,Value
2020,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement",Number,Advanced,
2020,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement",Number,Minimum,
