Year,SERIES,UNIT_MEASURE,Sex,Value
2019,"Proportion of individuals who own a mobile telephone, by sex (%)",Percent,Both sexes,77.2
2020,"Proportion of individuals who own a mobile telephone, by sex (%)",Percent,Both sexes,82.4
2021,"Proportion of individuals who own a mobile telephone, by sex (%)",Percent,Both sexes,84.2
2022,"Proportion of individuals who own a mobile telephone, by sex (%)",Percent,Both sexes,85.7
2013,"Proportion of individuals who own a mobile telephone, by sex (%)",Percent,Both sexes,87.9
