Year,UNIT_MEASURE,Type,Value
a)January,Number,Employed 2019,823455
b)February,Number,Employed 2019,819410
c)March,Number,Employed 2019,822275
d)April,Number,Employed 2019,827121
e)May,Number,Employed 2019,829477
f)June,Number,Employed 2019,821124
g)July,Number,Employed 2019,821791
h)August,Number,Employed 2019,816926
i)September,Number,Employed 2019,822259
j)October,Number,Employed 2019,825466
k)November,Number,Employed 2019,831126
l)December,Number,Employed 2019,830383
a)January,Number,Employed 2020,833909
b)February,Number,Employed 2020,832200
c)March,Number,Employed 2020,830421
d)April,Number,Employed 2020,808894
e)May,Number,Employed 2020,808868
f)June,Number,Employed 2020,804028
g)July,Number,Employed 2020,803326
h)August,Number,Employed 2020,799207
i)September,Number,Employed 2020,806350
j)October,Number,Employed 2020,807985
k)November,Number,Employed 2020,814715
l)December,Number,Employed 2020,813942
a)January,Number,Employed 2021,809667
b)February,Number,Employed 2021,808884
