Year,SERIES,Sex,UNIT_MEASUR,Value
2023,"Countries with at least one verified case of killings of human rights defenders, journalists, and trade unionists (1 = YES, 0 = NO)",Both sexes,NUMBER,0
2024,"Countries with at least one verified case of killings of human rights defenders, journalists, and trade unionists (1 = YES, 0 = NO)",Both sexes,NUMBER,0
2023,"Countries with at least one verified case of enforced disappearance of human rights defenders, journalists, and trade unionists (1 = YES, 0 = NO)",Both sexes,NUMBER,0
2024,"Countries with at least one verified case of enforced disappearance of human rights defenders, journalists, and trade unionists (1 = YES, 0 = NO)",Both sexes,NUMBER,0
