Year,SERIES,UNIT_MEASURE,Education level,Value
2019,SE_ACS_CMPTR,Percent,Primary education,27.8542
2018,SE_ACS_CMPTR,Percent,Secondary education level,100.0
2018,SE_ACS_INTNT,Percent,Secondary education level,93.5772
