Year,SERIES,UNIT_MEASURE,Value
2000,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,20.09
2001,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,43.6
2002,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,10.37
2003,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,14.92
2004,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,45.95
2005,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,22.07
2006,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,17.24
2007,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,18.18
2008,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,15.69
2009,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,19.39
2010,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,30.86
2011,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,47.38
2012,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,46.88
2013,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,40.77
2014,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,47.15
2015,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,75.76
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,53.98
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,53.99
2018,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,18.43
2019,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,29.95
2020,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,24.44
2021,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,22.15
2022,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,7.79
2023,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2023 United States dollars)",Millions of constant United States dollars,21.92
