Year,SERIES,UNIT_MEASURE,Degree of urbanisation,Value
2000,Proportion of urban population living in slums,Percent,Urban,5.1
2002,Proportion of urban population living in slums,Percent,Urban,5.1
2004,Proportion of urban population living in slums,Percent,Urban,5.1
2006,Proportion of urban population living in slums,Percent,Urban,4.9
2008,Proportion of urban population living in slums,Percent,Urban,4.7
2010,Proportion of urban population living in slums,Percent,Urban,4.5
2012,Proportion of urban population living in slums,Percent,Urban,4.3
2014,Proportion of urban population living in slums,Percent,Urban,4.0
2016,Proportion of urban population living in slums,Percent,Urban,4.0
2018,Proportion of urban population living in slums,Percent,Urban,4.0
