Year,Value,UNIT_MEASURE,SERIES
2014,22,Број,Број локалних пасмина које се држе у земљи
2016,22,Број,Број локалних пасмина које се држе у земљи
2017,22,Број,Број локалних пасмина које се држе у земљи
2018,22,Број,Број локалних пасмина које се држе у земљи
2019,22,Број,Број локалних пасмина које се држе у земљи
2020,22,Број,Број локалних пасмина које се држе у земљи
2021,22,Број,Број локалних пасмина које се држе у земљи
2014,734,Број,Приступ биљним генетичким ресурсима ускладиштеним ван њиховог природног станишта -ex-situ (број)
2016,880,Број,Приступ биљним генетичким ресурсима ускладиштеним ван њиховог природног станишта -ex-situ (број)
2017,881,Број,Приступ биљним генетичким ресурсима ускладиштеним ван њиховог природног станишта -ex-situ (број)
2018,478,Број,Приступ биљним генетичким ресурсима ускладиштеним ван њиховог природног станишта -ex-situ (број)
2019,965,Број,Приступ биљним генетичким ресурсима ускладиштеним ван њиховог природног станишта -ex-situ (број)
2020,971,Број,Приступ биљним генетичким ресурсима ускладиштеним ван њиховог природног станишта -ex-situ (број)
2021,971,Број,Приступ биљним генетичким ресурсима ускладиштеним ван њиховог природног станишта -ex-situ (број)
2014,5,Број,Број прекограничних пасмина (укључујући изумрле)
2015,5,Број,Број прекограничних пасмина (укључујући изумрле)
2016,5,Број,Број прекограничних пасмина (укључујући изумрле)
2017,5,Број,Број прекограничних пасмина (укључујући изумрле)
2018,5,Број,Број прекограничних пасмина (укључујући изумрле)
2019,5,Број,Број прекограничних пасмина (укључујући изумрле)
2020,5,Број,Број прекограничних пасмина (укључујући изумрле)
2021,5,Број,Број прекограничних пасмина (укључујући изумрле)
