Year,Value,UNIT_MEASURE,SERIES
2018,1,Број,Земље са системима за праћење и издвајање јавних средстава за родну равноправност и оснаживање жена (0 = не испуњава услов; 1 = приступило је захтjеву; 2 = у потпуности испуњава услов)
2021,1,Број,Земље са системима за праћење и издвајање јавних средстава за родну равноправност и оснаживање жена (0 = не испуњава услов; 1 = приступило је захтjеву; 2 = у потпуности испуњава услов)
