Year,Value,UNIT_MEASURE,SERIES
2005,196.802768,Квадратних километара,EN_WBE_PMPN
2006,199.240905,Квадратних километара,EN_WBE_PMPN
2007,198.621679,Квадратних километара,EN_WBE_PMPN
2008,195.98815,Квадратних километара,EN_WBE_PMPN
2009,196.755711,Квадратних километара,EN_WBE_PMPN
2010,195.980924,Квадратних километара,EN_WBE_PMPN
2011,194.373977,Квадратних километара,EN_WBE_PMPN
2012,192.717187,Квадратних километара,EN_WBE_PMPN
2013,191.539535,Квадратних километара,EN_WBE_PMPN
2014,194.156985,Квадратних километара,EN_WBE_PMPN
2015,196.933384,Квадратних километара,EN_WBE_PMPN
2016,198.21211,Квадратних километара,EN_WBE_PMPN
2017,200.734893,Квадратних километара,EN_WBE_PMPN
2018,203.146127,Квадратних километара,EN_WBE_PMPN
2005,0.384224244140625,Проценат,EN_WBE_PMPR
2006,0.389043779296875,Проценат,EN_WBE_PMPR
2007,0.3878929335937499,Проценат,EN_WBE_PMPR
2008,0.3827478632812499,Проценат,EN_WBE_PMPR
2009,0.3842341425781249,Проценат,EN_WBE_PMPR
2010,0.3827234374999999,Проценат,EN_WBE_PMPR
2011,0.379595548828125,Проценат,EN_WBE_PMPR
2012,0.3763736894531249,Проценат,EN_WBE_PMPR
2013,0.3740766289062499,Проценат,EN_WBE_PMPR
2014,0.37920499609375,Проценат,EN_WBE_PMPR
2015,0.3846276425781249,Проценат,EN_WBE_PMPR
2016,0.387125658203125,Проценат,EN_WBE_PMPR
2017,0.39205578515625,Проценат,EN_WBE_PMPR
2018,0.39676751171875,Проценат,EN_WBE_PMPR
2005,196.722813,Квадратних километара,EN_WBE_PMNR
2006,199.190415,Квадратних километара,EN_WBE_PMNR
2007,198.601182,Квадратних километара,EN_WBE_PMNR
2008,195.966906,Квадратних километара,EN_WBE_PMNR
2009,196.727881,Квадратних километара,EN_WBE_PMNR
2010,195.9544,Квадратних километара,EN_WBE_PMNR
2011,194.352921,Квадратних километара,EN_WBE_PMNR
2012,192.703329,Квадратних километара,EN_WBE_PMNR
2013,191.527234,Квадратних километара,EN_WBE_PMNR
2014,194.152958,Квадратних километара,EN_WBE_PMNR
2015,196.929353,Квадратних километара,EN_WBE_PMNR
2016,198.208337,Квадратних километара,EN_WBE_PMNR
2017,200.732562,Квадратних километара,EN_WBE_PMNR
2018,203.144966,Квадратних километара,EN_WBE_PMNR
