Year,Value,UNIT_MEASURE,SERIES
2000,2.5,Проценат,ER_H2O_STRESS
2001,2.5,Проценат,ER_H2O_STRESS
2002,2.5,Проценат,ER_H2O_STRESS
2003,2.5,Проценат,ER_H2O_STRESS
2004,2.5,Проценат,ER_H2O_STRESS
2005,2.5,Проценат,ER_H2O_STRESS
2006,2.5,Проценат,ER_H2O_STRESS
2007,2.6,Проценат,ER_H2O_STRESS
2008,2.6,Проценат,ER_H2O_STRESS
2009,2.9,Проценат,ER_H2O_STRESS
2010,2.8,Проценат,ER_H2O_STRESS
2011,2.9,Проценат,ER_H2O_STRESS
2012,2.9,Проценат,ER_H2O_STRESS
2013,2.7,Проценат,ER_H2O_STRESS
2014,2.8,Проценат,ER_H2O_STRESS
2015,2.8,Проценат,ER_H2O_STRESS
2016,2.7,Проценат,ER_H2O_STRESS
