Year,Value,UNIT_MEASURE,SERIES
2000,60.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2001,80.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2002,90.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2003,93.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2004,95.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2005,97.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2006,99.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2007,99.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2008,99.3,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2009,99.5,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2010,99.7,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2011,99.7,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2012,99.8,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2013,99.8,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2014,99.8,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2015,100.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2016,100.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2017,100.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2018,100.0,Проценат,Удио становништва покривен најмање 2G мобилном мрежом
2009,25.0,Проценат,Удио становништва покривен најмање 3G мобилном мрежом
2010,60.0,Проценат,Удио становништва покривен најмање 3G мобилном мрежом
2011,70.0,Проценат,Удио становништва покривен најмање 3G мобилном мрежом
2012,72.0,Проценат,Удио становништва покривен најмање 3G мобилном мрежом
2013,90.0,Проценат,Удио становништва покривен најмање 3G мобилном мрежом
2014,95.0,Проценат,Удио становништва покривен најмање 3G мобилном мрежом
2015,96.0,Проценат,Удио становништва покривен најмање 3G мобилном мрежом
2016,96.0,Проценат,Удио становништва покривен најмање 3G мобилном мрежом
2017,96.0,Проценат,Удио становништва покривен најмање 3G мобилном мрежом
2018,96.0,Проценат,Удио становништва покривен најмање 3G мобилном мрежом
2014,0.0,Проценат,Удио становништва покривен најмање 4G мобилном мрежом
2015,0.0,Проценат,Удио становништва покривен најмање 4G мобилном мрежом
2016,0.0,Проценат,Удио становништва покривен најмање 4G мобилном мрежом
2017,0.0,Проценат,Удио становништва покривен најмање 4G мобилном мрежом
2018,0.0,Проценат,Удио становништва покривен најмање 4G мобилном мрежом
