Year,Value,UNIT_MEASURE,SERIES
2018,11.27332,Милиони константни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2022.)"
2020,9.25499,Милиони константни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2022.)"
2022,3.22005,Милиони константни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2022.)"
