Year,Value,UNIT_MEASURE,SERIES
2015,50.0,Проценат,Усклађеност са Базелском конвенцијом о опасном отпаду и другим хемикалијама
2020,80.0,Проценат,Усклађеност са Базелском конвенцијом о опасном отпаду и другим хемикалијама
2015,100.0,Проценат,Усклађеност с Монтреалским протоколом о опасном отпаду и другим хемикалијама
2020,100.0,Проценат,Усклађеност с Монтреалским протоколом о опасном отпаду и другим хемикалијама
2015,72.55,Проценат,Усклађеност са Ротердамском конвенцијом о опасном отпаду и другим хемикалијама
2020,91.38,Проценат,Усклађеност са Ротердамском конвенцијом о опасном отпаду и другим хемикалијама
2015,33.33,Проценат,Усклађеност са Штокхолмском конвенцијом о опасном отпаду и другим хемикалијама
2020,62.5,Проценат,Усклађеност са Штокхолмском конвенцијом о опасном отпаду и другим хемикалијама
