Year,Value,UNIT_MEASURE,SERIES
2002,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2003,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2004,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2005,0.6115,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2006,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2007,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2008,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2009,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2010,12.1442,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2011,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2012,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2013,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2014,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2015,0.8117,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2016,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2017,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2018,11.2733,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2019,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2020,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
2021,,Kонстантни амерички долари,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони константних америчких долара из 2023. године)"
