Year,Value,UNIT_MEASURE,SERIES
2005,731,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2006,1196,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2007,1281,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2008,1295,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2009,580,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2010,936,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2011,668,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2012,1091,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2013,986,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2014,551,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2015,946,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2016,656,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2017,1008,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2018,993,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2019,691,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2020,789,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2021,1094,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2022,434,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
2023,621,Mилиони текућих америчких долара,"Укупна помоћ за развој, по земљама примаоцима (милиони текућих америчких долара)"
