Year,SERIES,UNIT_MEASURE,Врста производа,Value
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.42138
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,1.95874
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,1.98739
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.0589
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.23034
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.25743
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.37444
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.59746
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.54557
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,2.94266
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.13034
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.0542
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.5599
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.44307
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.41609
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.45008
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,3.87561
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,4.01914
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Угаљ,4.15315
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.33847
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.43254
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.49519
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.30454
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.54362
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.52028
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.51514
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.38189
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.52663
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.52943
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.43445
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.43745
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.34984
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.48102
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.43713
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.44109
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.44373
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Остаци усјева,0.44522
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.78252
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.96035
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.91005
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.70382
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.16575
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.13724
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.0991
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.99999
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.12432
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.10228
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.02572
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.03314
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,0.91977
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.11168
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.11168
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.10318
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.12427
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Усјеви,1.14253
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.09637
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.07
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.23643
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.07191
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.09727
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.51046
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.54694
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.5303
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.64051
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.62278
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.22601
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.28901
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.26201
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.36324
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.3897
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.42133
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.45209
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде жељеза,0.4819
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.3088
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.31477
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.37475
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.53438
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.62888
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.73894
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.98715
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,2.96034
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.40927
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.61068
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.54872
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.54872
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.07718
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.9123
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,3.86773
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.32493
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.48257
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.62956
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04529
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.0296
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.02797
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.03653
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.05754
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.06833
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.07193
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.07613
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.07576
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04341
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04584
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.05264
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04902
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.03861
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.0363
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04586
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04594
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Природни гас,0.04589
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.05734
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.01722
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.00274
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.00314
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.00411
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.03204
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.09853
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.20202
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.16985
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.17391
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.24879
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.23406
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.20314
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.20697
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.20814
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.229
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.24944
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Сточна храна и крмно биље,0.26938
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.16399
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.09387
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.07503
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.23986
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.27573
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.76364
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.73469
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.6991
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.87801
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.74851
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.46251
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.52544
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.50998
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.60932
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.60614
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.651
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.69447
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.73645
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.06762
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.02386
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.01888
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.16795
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.17846
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.25318
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.18775
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.1688
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.23749
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.12573
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.2365
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.23643
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.24797
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.24609
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.21644
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.22967
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.24238
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Руде обојених метала,0.25455
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.18913
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.25289
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.22997
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.12543
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.17804
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.26178
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.44654
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.60988
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.62429
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.52175
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.40622
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.50838
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.51004
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.44764
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.50547
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.53689
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.56709
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,0.59602
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,1.70268
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,1.87307
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,2.24856
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.81502
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.30196
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,2.54502
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.153
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.49718
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.75915
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.62215
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.78413
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.58703
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,3.82068
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,4.30092
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,4.68823
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,5.01912
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,5.33908
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали - доминантна градња,5.64745
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,1.89181
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,2.12596
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,2.47853
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,3.94044
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,3.48001
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,2.8068
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,3.59954
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.10707
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.38344
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.1439
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.19035
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.09541
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.33072
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,4.74856
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,5.1937
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,5.55601
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,5.90616
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,6.24347
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.30478
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.29778
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.28789
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.26751
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.31391
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.29618
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.31777
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.33863
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.39085
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.43693
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.44867
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.46464
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.42021
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.41304
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.38839
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.40346
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.41748
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Нафта,0.43051
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00225
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.0023
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00296
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00311
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00361
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00408
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00296
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00292
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00291
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00271
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00245
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00225
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.0023
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00246
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00248
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00246
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00242
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дивљи улов и жетва,0.00238
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Дрво,0.65807
