Year,UNIT_MEASURE,Тип,Value
k)2019 - 2020 Новембар,Индеx,Остали приходи и накнаде,102.8
l)2019 - 2020 Децембар,Индеx,Остали приходи и накнаде,119.1
a)2019 - 2020 Јануар,Индеx,Укупно,98.5
b)2019 - 2020 Фебруар,Индеx,Укупно,108.88
c)2019 - 2020 Март,Индеx,Укупно,104.14
d)2019 - 2020 Април,Индеx,Укупно,77.33
e)2019 - 2020 Мај,Индеx,Укупно,66.53
f)2019 - 2020 Јуни,Индеx,Укупно,93.06
g)2019 - 2020 Јули,Индеx,Укупно,91.76
h)2019 - 2020 Август,Индеx,Укупно,82.2
i)2019 - 2020 Септембар,Индеx,Укупно,90.91
j)2019 - 2020 Октобар,Индеx,Укупно,92.34
k)2019 - 2020 Новембар,Индеx,Укупно,95.53
l)2019 - 2020 Децембар,Индеx,Укупно,91.88
