Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2020,"Обим превоза терета, по виду транспорта (тонских километара)",Тонски километри,Зрачни,
2018,"Обим превоза терета, по виду транспорта (тонских километара)",Тонски километри,Унутрашњи пловни пут,
2019,"Обим превоза терета, по виду транспорта (тонских километара)",Тонски километри,Унутрашњи пловни пут,
2019,"Обим превоза терета, по виду транспорта (тонских километара)",Тонски километри,Жељезнички,
2020,"Обим превоза терета, по виду транспорта (тонских километара)",Тонски километри,Жељезнички,
2018,"Обим превоза терета, по виду транспорта (тонских километара)",Тонски километри,Друмски,
2020,"Обим превоза терета, по виду транспорта (тонских километара)",Тонски километри,Друмски,
2019,"Обим превоза путника (путничких километара), по виду транспорта",Путнички километри,Зрачни,7353050.0
2020,"Обим превоза путника (путничких километара), по виду транспорта",Путнички километри,Зрачни,1812510.0
2018,"Обим превоза путника (путничких километара), по виду транспорта",Путнички километри,Жељезнички,
2019,"Обим превоза путника (путничких километара), по виду транспорта",Путнички километри,Жељезнички,
2020,"Обим превоза путника (путничких километара), по виду транспорта",Путнички километри,Жељезнички,
2018,"Обим превоза путника (путничких километара), по виду транспорта",Путнички километри,Друмски,
2019,"Обим превоза путника (путничких километара), по виду транспорта",Путнички километри,Друмски,
2020,"Обим превоза путника (путничких километара), по виду транспорта",Путнички километри,Друмски,
