Year,UNIT_MEASURE,Тип,Value
a)2019 Q1,Број,Укупан гранични промет - Улаз,6793862
b)2019 Q2,Број,Укупан гранични промет - Улаз,6754482
c)2019 Q3,Број,Укупан гранични промет - Улаз,8253750
a)2019 Q1,Број,Укупан гранични промет - Излаз,5248925
b)2019 Q2,Број,Укупан гранични промет - Излаз,6793862
c)2019 Q3,Број,Укупан гранични промет - Излаз,8328680
e)2020 Q1,Број,Укупан гранични промет - Улаз,4213687
f)2020 Q2,Број,Укупан гранични промет - Улаз,1582652
g)2020 Q3,Број,Укупан гранични промет - Улаз,3668004
e)2020 Q1,Број,Укупан гранични промет - Излаз,4349367
f)2020 Q2,Број,Укупан гранични промет - Излаз,1531978
g)2020 Q3,Број,Укупан гранични промет - Излаз,3673817
