Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2012,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,463.08759
2013,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,470.87276
2014,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,481.23811
2015,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,489.57275
2016,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,510.1026
2017,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,525.66448
2018,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,554.6819
2019,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,574.40226
2020,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,588.47212
2021,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,623.21477
2022,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Сви обновљиви извори енергије,646.18469
2012,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,0.0
2013,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,0.0
2014,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,0.0
2015,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,0.0
2016,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,0.28727
2017,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,0.2907
2018,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,0.36469
2019,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,0.6576
2020,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,0.63585
2021,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,3.12142
2022,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Биоенергија,3.15754
2012,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Геотермална енергија,0.0
2013,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Геотермална енергија,0.0
2014,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Геотермална енергија,0.0
2015,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Геотермална енергија,0.0
2016,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Геотермална енергија,0.0
2017,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Геотермална енергија,0.0
2018,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Геотермална енергија,0.0
2019,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Геотермална енергија,0.0
2020,Инсталирани капацитет за производњу електричне енергије из обновљивих извора (вати по глави становника),Вати по глави становника,Геотермална енергија,0.0
