Year,SERIES,UNIT_MEASURE,Привредна активност,Value
2015,Удуо малих производних индустрија у укупној додатој вриједности производње (%),Проценат,Производња,15.22
2016,Удуо малих производних индустрија у укупној додатој вриједности производње (%),Проценат,Производња,15.07
2017,Удуо малих производних индустрија у укупној додатој вриједности производње (%),Проценат,Производња,11.79
2018,Удуо малих производних индустрија у укупној додатој вриједности производње (%),Проценат,Производња,11.39
2019,Удуо малих производних индустрија у укупној додатој вриједности производње (%),Проценат,Производња,11.13
2020,Удуо малих производних индустрија у укупној додатој вриједности производње (%),Проценат,Производња,11.57
2021,Удуо малих производних индустрија у укупној додатој вриједности производње (%),Проценат,Производња,10.03
2022,Удуо малих производних индустрија у укупној додатој вриједности производње (%),Проценат,Производња,10.95
2023,Удуо малих производних индустрија у укупној додатој вриједности производње (%),Проценат,Производња,12.25
2015,Удио малих индустрија у укупној додатој вриедности индустрије на основу националне класификације (%),Проценат,Производња,15.22
2016,Удио малих индустрија у укупној додатој вриедности индустрије на основу националне класификације (%),Проценат,Производња,15.07
2017,Удио малих индустрија у укупној додатој вриедности индустрије на основу националне класификације (%),Проценат,Производња,11.79
2018,Удио малих индустрија у укупној додатој вриедности индустрије на основу националне класификације (%),Проценат,Производња,11.39
2019,Удио малих индустрија у укупној додатој вриедности индустрије на основу националне класификације (%),Проценат,Производња,11.13
2020,Удио малих индустрија у укупној додатој вриедности индустрије на основу националне класификације (%),Проценат,Производња,11.57
2021,Удио малих индустрија у укупној додатој вриедности индустрије на основу националне класификације (%),Проценат,Производња,10.03
2022,Удио малих индустрија у укупној додатој вриедности индустрије на основу националне класификације (%),Проценат,Производња,10.95
2023,Удио малих индустрија у укупној додатој вриедности индустрије на основу националне класификације (%),Проценат,Производња,12.25
