Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2012,SP_DYN_MRBF15,(%) удатих жена старости 20 - 24 године,Y20T24,Жене,3.496
2012,SP_DYN_MRBF18,(%) удатих жена старости 20 - 24 године,Y20T24,Жене,0.158
