Year,SERIES,UNIT_MEASURE,Пол,Value
2010,"Стопа распрострањености подмићивања, према полу (%)",Проценат,Оба пола,20.7
2015,"Стопа распрострањености подмићивања, према полу (%)",Проценат,Оба пола,24.2
2010,"Стопа распрострањености подмићивања, према полу (%)",Проценат,Жене,18.2
2010,"Стопа распрострањености подмићивања, према полу (%)",Проценат,Мушкарци,23.2
