Year,SERIES,UNIT_MEASURE,Сектор прехрамбеног отпада,Value
2019,Отпад од хране (тоне),Тоне,Сви сектори отпада од хране,416163.925
2022,Отпад од хране (тоне),Тоне,Сви сектори отпада од хране,403903.837
2019,Отпад од хране (тоне),Тоне,Домаћинства,273269.236
2022,Отпад од хране (тоне),Тоне,Домаћинства,277116.728
2019,Отпад од хране (тоне),Тоне,Потрошња изван домаћинства,91266.294
2022,Отпад од хране (тоне),Тоне,Потрошња изван домаћинства,79255.996
2019,Отпад од хране (тоне),Тоне,Малопродаја,51628.395
2022,Отпад од хране (тоне),Тоне,Малопродаја,47531.113
2019,Отпад од хране по становнику (КГ),Килограми,Сви сектори отпада од хране,123.832
2022,Отпад од хране по становнику (КГ),Килограми,Сви сектори отпада од хране,124.911
2019,Отпад од хране по становнику (КГ),Килограми,Домаћинства,81.313
2022,Отпад од хране по становнику (КГ),Килограми,Домаћинства,85.701
2019,Отпад од хране по становнику (КГ),Килограми,Потрошња изван домаћинства,27.157
2012,Отпад од хране по становнику (КГ),Килограми,Потрошња изван домаћинства,24.511
2019,Отпад од хране по становнику (КГ),Килограми,Малопродаја,15.362
2022,Отпад од хране по становнику (КГ),Килограми,Малопродаја,14.699
