Year,SERIES,UNIT_MEASURE,Value
2018,Земље са системима за праћење и издвајање јавних средстава за родну равноправност и оснаживање жена (0 = не испуњава услов; 1 = приступило је захтjеву; 2 = у потпуности испуњава услов),Број,1
2021,Земље са системима за праћење и издвајање јавних средстава за родну равноправност и оснаживање жена (0 = не испуњава услов; 1 = приступило је захтjеву; 2 = у потпуности испуњава услов),Број,1
