Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2007,SI_POV_NAHC,Проценат,Сва подручја,18.2
2011,SI_POV_NAHC,Проценат,Сва подручја,17.9
2015,SI_POV_NAHC,Проценат,Сва подручја,16.9
