Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2000,EN_LND_SLUM,Проценат,Урбано,5.1
2002,EN_LND_SLUM,Проценат,Урбано,5.1
2004,EN_LND_SLUM,Проценат,Урбано,5.1
2006,EN_LND_SLUM,Проценат,Урбано,4.9
2008,EN_LND_SLUM,Проценат,Урбано,4.7
2010,EN_LND_SLUM,Проценат,Урбано,4.5
2012,EN_LND_SLUM,Проценат,Урбано,4.3
2014,EN_LND_SLUM,Проценат,Урбано,4.0
2016,EN_LND_SLUM,Проценат,Урбано,4.0
2018,EN_LND_SLUM,Проценат,Урбано,4.0
2020,EN_LND_SLUM,Проценат,Урбано,0.3128
2022,EN_LND_SLUM,Проценат,Урбано,0.3128
