Year,SERIES,UNIT_MEASURE,Врста производа,Value
2020,Потрошња домаћих материјала,Тоне,Сточна храна и крмно биље,1584500.0
2021,Потрошња домаћих материјала,Тоне,Сточна храна и крмно биље,1568392.0
2015,Потрошња домаћих материјала,Тоне,Руде обојених метала,1001933.0
2016,Потрошња домаћих материјала,Тоне,Руде обојених метала,962818.0
2017,Потрошња домаћих материјала,Тоне,Руде обојених метала,960634.0
2018,Потрошња домаћих материјала,Тоне,Руде обојених метала,1129463.0
2019,Потрошња домаћих материјала,Тоне,Руде обојених метала,1501237.0
2020,Потрошња домаћих материјала,Тоне,Руде обојених метала,800498.0
2021,Потрошња домаћих материјала,Тоне,Руде обојених метала,855069.0
2015,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,868611.0
2016,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,1019039.0
2017,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,1074950.0
2018,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,1105914.0
2019,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,1147482.0
2020,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,1004065.0
2021,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантни у индустрији или пољопривреди,976363.0
2015,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантна градња,8752863.0
2016,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантна градња,10155134.0
2017,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантна градња,8277915.0
2018,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантна градња,8274565.0
2019,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантна градња,9341782.0
2020,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантна градња,10391236.0
2021,Потрошња домаћих материјала,Тоне,Неметални минерали - доминантна градња,11391978.0
2015,Потрошња домаћих материјала,Тоне,Уљни шкриљци и катрански пиjесак,0.0
2016,Потрошња домаћих материјала,Тоне,Уљни шкриљци и катрански пиjесак,0.0
2017,Потрошња домаћих материјала,Тоне,Уљни шкриљци и катрански пиjесак,0.0
2018,Потрошња домаћих материјала,Тоне,Уљни шкриљци и катрански пиjесак,0.0
2019,Потрошња домаћих материјала,Тоне,Уљни шкриљци и катрански пиjесак,0.0
2020,Потрошња домаћих материјала,Тоне,Уљни шкриљци и катрански пиjесак,-1.0
2021,Потрошња домаћих материјала,Тоне,Уљни шкриљци и катрански пиjесак,0.0
2015,Потрошња домаћих материјала,Тоне,Нафта,1759363.0
2016,Потрошња домаћих материјала,Тоне,Нафта,1953908.0
2017,Потрошња домаћих материјала,Тоне,Нафта,1910661.0
2018,Потрошња домаћих материјала,Тоне,Нафта,1820276.0
2019,Потрошња домаћих материјала,Тоне,Нафта,1682665.0
2020,Потрошња домаћих материјала,Тоне,Нафта,1594564.0
2021,Потрошња домаћих материјала,Тоне,Нафта,1727616.0
2015,Потрошња домаћих материјала,Тоне,Дивљи улов и жетва,8893.0
2016,Потрошња домаћих материјала,Тоне,Дивљи улов и жетва,9964.0
2017,Потрошња домаћих материјала,Тоне,Дивљи улов и жетва,9270.0
2018,Потрошња домаћих материјала,Тоне,Дивљи улов и жетва,9965.0
2019,Потрошња домаћих материјала,Тоне,Дивљи улов и жетва,12099.0
2020,Потрошња домаћих материјала,Тоне,Дивљи улов и жетва,9169.0
2021,Потрошња домаћих материјала,Тоне,Дивљи улов и жетва,8966.0
2015,Потрошња домаћих материјала,Тоне,Дрво,1839354.0
2016,Потрошња домаћих материјала,Тоне,Дрво,1848219.0
2017,Потрошња домаћих материјала,Тоне,Дрво,1679193.0
2018,Потрошња домаћих материјала,Тоне,Дрво,1923073.0
2019,Потрошња домаћих материјала,Тоне,Дрво,2141197.0
2020,Потрошња домаћих материјала,Тоне,Дрво,2134671.0
2021,Потрошња домаћих материјала,Тоне,Дрво,1891504.0
