Year,SERIES,UNIT_MEASURE,Степен одступања,Value
2004,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2005,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2006,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2007,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2008,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2009,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2010,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2011,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0018
2012,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0018
2013,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0018
2014,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0018
2015,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2016,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2017,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2018,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.002
2019,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.002
2020,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.002
2021,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.002
2022,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0019
2000,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,19.38761
2001,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,37.91617
2002,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,58.35049
2003,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,78.85137
2004,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,96.21938
2005,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,96.10356
2006,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,98.23945
2007,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,98.08088
2008,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,95.76764
2009,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,96.04224
2010,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,95.56122
2011,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,94.15428
2012,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,92.64733
2013,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,92.11201
2014,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,94.11437
2015,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,96.57513
2016,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,97.93719
2017,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,99.82922
2018,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,101.88708
2019,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,102.83415
2020,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,101.07315
2021,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,100.37546
2022,"Језера и ријеке, трајно водно подручје (квадратних километара)",Квадратних километара,,98.9633
2005,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,10.29836
2006,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,12.74973
2007,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,12.56774
2008,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,9.91283
2009,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,10.22799
2010,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,9.67592
2011,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,8.06118
2012,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,6.33164
2013,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,5.71725
2014,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,8.01537
2015,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,10.83959
2016,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,12.40283
2017,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,14.57432
2018,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,16.93613
2019,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,18.02309
2020,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,16.00198
2021,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,15.20124
2022,"Језера и ријеке, трајне водне промјене површине (%)",Проценат,,13.5805
2000,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0001
2001,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0003
2002,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0007
2003,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.001
2004,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0012
2005,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0016
2006,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0018
2007,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0018
2008,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0018
2009,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.002
2010,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0019
2011,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0019
2012,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0017
2013,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0016
2014,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0018
2015,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0019
2016,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0017
2017,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0019
2018,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.002
2019,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.002
2020,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0019
2021,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0018
2022,Језера и ријеке сезонска водена површина (% укупне површине копна),Проценат,,0.0018
2000,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,4.48583
2001,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,15.70308
2002,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,36.94994
2003,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,50.57756
2004,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,62.60016
2005,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,80.70444
2006,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,94.00306
2007,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,92.69879
2008,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,93.86829
2009,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,101.9335
2010,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,95.48293
2011,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,95.21826
2012,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,85.59456
2013,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,83.46911
2014,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,90.4602
2015,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,97.41045
2016,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,87.27362
2017,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,98.98236
2018,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,103.31956
2019,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,103.67642
2020,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,94.80561
2021,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,94.4393
2022,Језера и ријеке сезонско водно подручје (квадратни километри),Квадратних километара,,90.53656
2005,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,2.52009
2006,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,19.41353
2007,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,17.7567
2008,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,19.24234
2009,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,29.48769
2010,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,21.29344
2011,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,20.95722
2012,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,8.73209
2013,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,6.0321
2014,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,14.91299
2015,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,23.742
2016,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,10.86503
2017,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,25.73882
2018,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,31.24843
2019,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,31.70176
2020,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,20.43303
2021,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,19.9677
2022,Језера и ријеке сезонска промјена водног подручја (%),Проценат,,15.00998
2000,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0004
2001,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0008
2002,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0013
2003,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0017
2004,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2005,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2006,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2007,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2008,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2009,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2010,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2011,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2012,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2013,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2014,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2015,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2016,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2017,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2018,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0023
2019,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0023
2020,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0023
2021,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0022
2022,Максимална површина акумулације (% укупне површине копна),Проценат,,0.0023
2000,Максимална површина акумулације (квадратни километри),Квадратних километара,,21.30032
2001,Максимална површина акумулације (квадратни километри),Квадратних километара,,43.74432
2002,Максимална површина акумулације (квадратни километри),Квадратних километара,,67.26286
2003,Максимална површина акумулације (квадратни километри),Квадратних километара,,88.78941
2004,Максимална површина акумулације (квадратни километри),Квадратних километара,,110.95503
2005,Максимална површина акумулације (квадратни километри),Квадратних километара,,113.0414
2006,Максимална површина акумулације (квадратни километри),Квадратних километара,,113.63894
2007,Максимална површина акумулације (квадратни километри),Квадратних километара,,113.5038
2008,Максимална површина акумулације (квадратни километри),Квадратних километара,,114.47983
2009,Максимална површина акумулације (квадратни километри),Квадратних километара,,114.73907
2010,Максимална површина акумулације (квадратни километри),Квадратних километара,,114.46172
2011,Максимална површина акумулације (квадратни километри),Квадратних километара,,115.03038
2012,Максимална површина акумулације (квадратни километри),Квадратних километара,,114.44519
2013,Максимална површина акумулације (квадратни километри),Квадратних километара,,112.97205
2014,Максимална површина акумулације (квадратни километри),Квадратних километара,,114.21259
2015,Максимална површина акумулације (квадратни километри),Квадратних километара,,114.65258
2016,Максимална површина акумулације (квадратни километри),Квадратних километара,,114.64481
2017,Максимална површина акумулације (квадратни километри),Квадратних километара,,115.36758
2018,Максимална површина акумулације (квадратни километри),Квадратних километара,,116.64399
2019,Максимална површина акумулације (квадратни километри),Квадратних километара,,116.96274
2020,Максимална површина акумулације (квадратни километри),Квадратних километара,,116.42087
2021,Максимална површина акумулације (квадратни километри),Квадратних километара,,115.38359
2022,Максимална површина акумулације (квадратни километри),Квадратних километара,,115.51934
2000,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00039
2001,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00078
2002,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00118
2003,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00158
2004,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00196
2005,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00197
2006,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00198
2007,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00197
2008,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00196
2009,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00197
2010,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00196
2011,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00196
2012,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00196
2013,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00194
2014,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00196
2015,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00196
2016,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00196
2017,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00197
2018,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00198
2019,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00198
2020,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00197
2021,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00195
2022,Минимална површина акумулације (% укупне површине копна),Проценат,,0.00192
2000,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,19.90939
2001,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,39.99274
2002,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,60.56282
2003,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,80.74683
2004,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.27077
2005,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.91307
2006,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,101.31893
2007,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.91254
2008,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.46905
2009,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.85196
2010,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.52817
2011,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.30326
2012,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.07446
2013,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,99.41302
2014,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.07857
2015,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.35179
2016,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.2217
2017,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.85521
2018,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,101.29379
2019,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,101.22219
2020,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,100.7989
2021,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,99.86901
2022,Минимална водена површина резервоара (квадратни километри),Квадратних километара,,98.38298
2005,Минимална промjена водене површине резервоара (%),Проценат,,11.48827
2006,Минимална промjена водене површине резервоара (%),Проценат,,11.93666
2007,Минимална промjена водене површине резервоара (%),Проценат,,11.48769
2008,Минимална промjена водене површине резервоара (%),Проценат,,10.99773
2009,Минимална промjена водене површине резервоара (%),Проценат,,11.42076
2010,Минимална промjена водене површине резервоара (%),Проценат,,11.06304
2011,Минимална промjена водене површине резервоара (%),Проценат,,10.81456
2012,Минимална промjена водене површине резервоара (%),Проценат,,10.56178
2013,Минимална промjена водене површине резервоара (%),Проценат,,9.83103
2014,Минимална промjена водене површине резервоара (%),Проценат,,10.56633
2015,Минимална промjена водене површине резервоара (%),Проценат,,10.86818
2016,Минимална промjена водене површине резервоара (%),Проценат,,10.72445
2017,Минимална промjена водене површине резервоара (%),Проценат,,11.42435
2018,Минимална промjена водене површине резервоара (%),Проценат,,11.90889
2019,Минимална промjена водене површине резервоара (%),Проценат,,11.82979
2020,Минимална промjена водене површине резервоара (%),Проценат,,11.36214
2021,Минимална промjена водене површине резервоара (%),Проценат,,10.3348
2022,Минимална промjена водене површине резервоара (%),Проценат,,8.69305
2017,Мочварно подручје (% од укупне површине копна),Проценат,,0.09
2017,Мочварно подручје (квадратни километри),Квадратних километара,,45.53
2021,Опсег мочвара у унутрашњости (квадратних километара),Квадратних километара,,572.0
