Year,SERIES,UNIT_MEASURE,Степен одступања,Value
2017,Воде језера квалитетно трофичко стање (%),Проценат,Екстреман (75-100%),0.0
2018,Воде језера квалитетно трофичко стање (%),Проценат,Екстреман (75-100%),0.0
2019,Воде језера квалитетно трофичко стање (%),Проценат,Екстреман (75-100%),0.0073
2020,Воде језера квалитетно трофичко стање (%),Проценат,Екстреман (75-100%),0.0379
2021,Воде језера квалитетно трофичко стање (%),Проценат,Екстреман (75-100%),0.0057
2017,Воде језера квалитетно трофичко стање (%),Проценат,Висок (50-75%),0.379
2018,Воде језера квалитетно трофичко стање (%),Проценат,Висок (50-75%),0.1713
2019,Воде језера квалитетно трофичко стање (%),Проценат,Висок (50-75%),0.2425
2020,Воде језера квалитетно трофичко стање (%),Проценат,Висок (50-75%),0.5234
2021,Воде језера квалитетно трофичко стање (%),Проценат,Висок (50-75%),0.5773
2017,Воде језера квалитетно трофичко стање (%),Проценат,Низак (0-25%),87.3743
2018,Воде језера квалитетно трофичко стање (%),Проценат,Низак (0-25%),96.896
2019,Воде језера квалитетно трофичко стање (%),Проценат,Низак (0-25%),96.4754
2020,Воде језера квалитетно трофичко стање (%),Проценат,Низак (0-25%),91.5949
2021,Воде језера квалитетно трофичко стање (%),Проценат,Низак (0-25%),93.7713
2017,Воде језера квалитетно трофичко стање (%),Проценат,Средњи (25-50%),12.2467
2018,Воде језера квалитетно трофичко стање (%),Проценат,Средњи (25-50%),2.9327
2019,Воде језера квалитетно трофичко стање (%),Проценат,Средњи (25-50%),3.2748
2020,Воде језера квалитетно трофичко стање (%),Проценат,Средњи (25-50%),7.8446
2021,Воде језера квалитетно трофичко стање (%),Проценат,Средњи (25-50%),5.6457
2017,Воде језера замућеност квалитете (%),Проценат,Екстреман (75-100%),36.6827
2018,Воде језера замућеност квалитете (%),Проценат,Екстреман (75-100%),13.2817
2019,Воде језера замућеност квалитете (%),Проценат,Екстреман (75-100%),22.932
2020,Воде језера замућеност квалитете (%),Проценат,Екстреман (75-100%),47.1
2021,Воде језера замућеност квалитете (%),Проценат,Екстреман (75-100%),37.7657
2017,Воде језера замућеност квалитете (%),Проценат,Висок (50-75%),11.4794
2018,Воде језера замућеност квалитете (%),Проценат,Висок (50-75%),9.6748
2019,Воде језера замућеност квалитете (%),Проценат,Висок (50-75%),22.7298
2020,Воде језера замућеност квалитете (%),Проценат,Висок (50-75%),12.8349
2021,Воде језера замућеност квалитете (%),Проценат,Висок (50-75%),9.9743
2017,Воде језера замућеност квалитете (%),Проценат,Низак (0-25%),45.9792
2018,Воде језера замућеност квалитете (%),Проценат,Низак (0-25%),59.2746
2019,Воде језера замућеност квалитете (%),Проценат,Низак (0-25%),35.4132
2020,Воде језера замућеност квалитете (%),Проценат,Низак (0-25%),34.098
2021,Воде језера замућеност квалитете (%),Проценат,Низак (0-25%),46.079
2017,Воде језера замућеност квалитете (%),Проценат,Средњи (25-50%),5.8588
2018,Воде језера замућеност квалитете (%),Проценат,Средњи (25-50%),17.7689
2019,Воде језера замућеност квалитете (%),Проценат,Средњи (25-50%),18.9251
2020,Воде језера замућеност квалитете (%),Проценат,Средњи (25-50%),5.9671
2021,Воде језера замућеност квалитете (%),Проценат,Средњи (25-50%),6.181
2000,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0004
2001,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0007
2002,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0011
2003,"Језера и ријеке, трајно водно подручје (% укупне површине копна)",Проценат,,0.0015
