Year,SERIES,UNIT_MEASURE,Привредна активност,Value
2010,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,1.6
2011,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,1.78
2012,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,1.8
2013,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,2.11
2014,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,1.91
2015,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,2.0
2016,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,1.9
2017,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,2.0
2018,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,2.23
2019,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,2.18
2020,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,1.29
2021,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,1.53
2022,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,1.49
2010,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,20.48
2011,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,23.4
2012,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,21.65
2013,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,21.51
2014,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,19.19
2015,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,19.32
2016,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,22.04
2017,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,22.35
2018,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,22.24
2019,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,20.76
2020,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,20.52
2021,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,20.7
2022,Емисије угљен-диоксида из сагоревања горива (милиони тона),Милиони тона,Без пођеле,20.6
2009,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,0.89
2010,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,0.977
2011,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,1.087
2014,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,1.074
2015,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,1.097
2016,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,0.987
2017,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,0.959
2018,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,1.051
2019,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,1.027
2020,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,0.636
2021,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,0.66
2022,Емисије угљен-диоксида из производних индустрија по јединици додане производне врijедности (килограми CO2 по константном курсу америчких долара из 2020. године),Килограми по константи америчког долара,Производња,0.611
2005,Емисије угљен-диоксида по јединици БДП-а (килограми ЦО2 по константи у америчким доларима из 2021.),Килограми по константи америчког долара,,0.4
2006,Емисије угљен-диоксида по јединици БДП-а (килограми ЦО2 по константи у америчким доларима из 2021.),Килограми по константи америчког долара,,0.416
2007,Емисије угљен-диоксида по јединици БДП-а (килограми ЦО2 по константи у америчким доларима из 2021.),Килограми по константи америчког долара,,0.415
2008,Емисије угљен-диоксида по јединици БДП-а (килограми ЦО2 по константи у америчким доларима из 2021.),Килограми по константи америчког долара,,0.431
2009,Емисије угљен-диоксида по јединици БДП-а (килограми ЦО2 по константи у америчким доларима из 2021.),Килограми по константи америчког долара,,0.434
2010,Емисије угљен-диоксида по јединици БДП-а (килограми ЦО2 по константи у америчким доларима из 2021.),Килограми по константи америчког долара,,0.437
2011,Емисије угљен-диоксида по јединици БДП-а (килограми ЦО2 по константи у америчким доларима из 2021.),Килограми по константи америчког долара,,0.495
2014,Емисије угљен-диоксида по јединици БДП-а (килограми ЦО2 по константи у америчким доларима из 2021.),Килограми по константи америчког долара,,0.395
2015,Емисије угљен-диоксида по јединици БДП-а (килограми ЦО2 по константи у америчким доларима из 2021.),Килограми по константи америчког долара,,0.381
