Year,SERIES,UNIT_MEASURE,Value
2001,Удио додане вриједности пољопривреде у БДП-у,Проценат,
2002,Удио додане вриједности пољопривреде у БДП-у,Проценат,
2003,Удио додане вриједности пољопривреде у БДП-у,Проценат,8.11
2004,Удио додане вриједности пољопривреде у БДП-у,Проценат,8.58
2005,Удио додане вриједности пољопривреде у БДП-у,Проценат,8.3
2006,Удио додане вриједности пољопривреде у БДП-у,Проценат,8.05
2007,Удио додане вриједности пољопривреде у БДП-у,Проценат,7.7
2008,Удио додане вриједности пољопривреде у БДП-у,Проценат,7.21
2009,Удио додане вриједности пољопривреде у БДП-у,Проценат,7.08
2010,Удио додане вриједности пољопривреде у БДП-у,Проценат,6.8
2011,Удио додане вриједности пољопривреде у БДП-у,Проценат,6.76
2012,Удио додане вриједности пољопривреде у БДП-у,Проценат,6.14
2013,Удио додане вриједности пољопривреде у БДП-у,Проценат,6.84
2014,Удио додане вриједности пољопривреде у БДП-у,Проценат,5.95
2015,Удио додане вриједности пољопривреде у БДП-у,Проценат,6.04
2016,Удио додане вриједности пољопривреде у БДП-у,Проценат,6.17
2017,Удио додане вриједности пољопривреде у БДП-у,Проценат,5.43
2018,Удио додане вриједности пољопривреде у БДП-у,Проценат,5.72
2019,Удио додане вриједности пољопривреде у БДП-у,Проценат,5.45
2020,Удио додане вриједности пољопривреде у БДП-у,Проценат,5.91
2021,Удио додане вриједности пољопривреде у БДП-у,Проценат,5.02
2022,Удио додане вриједности пољопривреде у БДП-у,Проценат,4.83
2023,Удио додане вриједности пољопривреде у БДП-у,Проценат,4.68
2024,Удио додане вриједности пољопривреде у БДП-у,Проценат,4.28
2003,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.21
2004,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.2
2005,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.21
2006,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.21
2007,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.22
2008,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.24
2009,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.25
2010,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.25
2011,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.25
2012,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.28
2013,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.25
2014,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.28
2015,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.31
2016,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.25
2017,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.3
2018,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.26
2019,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.27
2020,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.3
2021,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.34
2022,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.4
2023,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.47
2024,Индекс оријентисаности на пољопривреду за државне расходе,Индекс,0.47
2003,Удио пољопривреде у државним расходима (%),Проценат,1.72
2004,Удио пољопривреде у државним расходима (%),Проценат,1.72
2005,Удио пољопривреде у државним расходима (%),Проценат,1.72
2006,Удио пољопривреде у државним расходима (%),Проценат,1.72
2007,Удио пољопривреде у државним расходима (%),Проценат,1.72
2008,Удио пољопривреде у државним расходима (%),Проценат,1.72
2009,Удио пољопривреде у државним расходима (%),Проценат,1.73
2010,Удио пољопривреде у државним расходима (%),Проценат,1.72
2011,Удио пољопривреде у државним расходима (%),Проценат,1.71
2012,Удио пољопривреде у државним расходима (%),Проценат,1.75
2013,Удио пољопривреде у државним расходима (%),Проценат,1.7
2014,Удио пољопривреде у државним расходима (%),Проценат,1.69
2015,Удио пољопривреде у државним расходима (%),Проценат,1.86
2016,Удио пољопривреде у државним расходима (%),Проценат,1.55
2017,Удио пољопривреде у државним расходима (%),Проценат,1.65
2018,Удио пољопривреде у државним расходима (%),Проценат,1.51
2019,Удио пољопривреде у државним расходима (%),Проценат,1.49
2020,Удио пољопривреде у државним расходима (%),Проценат,1.8
2021,Удио пољопривреде у државним расходима (%),Проценат,1.72
2022,Удио пољопривреде у државним расходима (%),Проценат,1.95
2023,Удио пољопривреде у државним расходима (%),Проценат,2.21
2023,Удио пољопривреде у државним расходима (%),Проценат,2.0
