Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2018,"Удио жена и ђевојака које су биле подвргнуто физичком и/или сексуалном насиљу од стране тренутног или бившег интимног партнера у претходних 12 мјесеци, према доби (%)",Проценат,15 година и више,Жене,2.7
2018,"Удио жена и ђевојака које су биле подвргнуто физичком и/или сексуалном насиљу од стране тренутног или бившег интимног партнера у претходних 12 мјесеци, према доби (%)",Проценат,15 до 49 година,Жене,3.4
