Year,SERIES,UNIT_MEASURE,Ниво захтјева,Value
2020,"Број компанија које објављују извјештаје о одрживости с објавом по димензијама, према нивоу захтјева",Број,Напедан,
2020,"Број компанија које објављују извјештаје о одрживости с објавом по димензијама, према нивоу захтјева",Број,Минималан,
