Year,SERIES,Биоклиматски појас,Покривеност земљишта,UNIT_MEASURE,Value
2021,Индекс планинског зеленог покривача,Преостало планинско подручје,Вјештачке површине,Проценат,0.29
2000,Индекс планинског зеленог покривача,Преостало планинско подручје,Усјеви,Проценат,12.47
2005,Индекс планинског зеленог покривача,Преостало планинско подручје,Усјеви,Проценат,10.34
2010,Индекс планинског зеленог покривача,Преостало планинско подручје,Усјеви,Проценат,9.18
2015,Индекс планинског зеленог покривача,Преостало планинско подручје,Усјеви,Проценат,8.84
2018,Индекс планинског зеленог покривача,Преостало планинско подручје,Усјеви,Проценат,8.84
2021,Индекс планинског зеленог покривача,Преостало планинско подручје,Усјеви,Проценат,8.84
2000,Индекс планинског зеленог покривача,Преостало планинско подручје,Трајни снијег и глечери,Проценат,0.0
2005,Индекс планинског зеленог покривача,Преостало планинско подручје,Трајни снијег и глечери,Проценат,0.0
2010,Индекс планинског зеленог покривача,Преостало планинско подручје,Трајни снијег и глечери,Проценат,0.0
2015,Индекс планинског зеленог покривача,Преостало планинско подручје,Трајни снијег и глечери,Проценат,0.0
2018,Индекс планинског зеленог покривача,Преостало планинско подручје,Трајни снијег и глечери,Проценат,0.0
2021,Индекс планинског зеленог покривача,Преостало планинско подручје,Трајни снијег и глечери,Проценат,0.0
2000,Индекс планинског зеленог покривача,Преостало планинско подручје,Травнате површине,Проценат,4.64
2005,Индекс планинског зеленог покривача,Преостало планинско подручје,Травнате површине,Проценат,6.42
2010,Индекс планинског зеленог покривача,Преостало планинско подручје,Травнате површине,Проценат,3.83
2015,Индекс планинског зеленог покривача,Преостало планинско подручје,Травнате површине,Проценат,2.66
2018,Индекс планинског зеленог покривача,Преостало планинско подручје,Травнате површине,Проценат,2.66
2021,Индекс планинског зеленог покривача,Преостало планинско подручје,Травнате површине,Проценат,2.66
2000,Индекс планинског зеленог покривача,Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.0
2005,Индекс планинског зеленог покривача,Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.0
2010,Индекс планинског зеленог покривача,Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.0
2015,Индекс планинског зеленог покривача,Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.0
2018,Индекс планинског зеленог покривача,Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.0
2021,Индекс планинског зеленог покривача,Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.0
2000,Индекс планинског зеленог покривача,Преостало планинско подручје,Унутрашње водене површине,Проценат,0.0
2005,Индекс планинског зеленог покривача,Преостало планинско подручје,Унутрашње водене површине,Проценат,0.0
2010,Индекс планинског зеленог покривача,Преостало планинско подручје,Унутрашње водене површине,Проценат,0.0
2015,Индекс планинског зеленог покривача,Преостало планинско подручје,Унутрашње водене површине,Проценат,0.0
2018,Индекс планинског зеленог покривача,Преостало планинско подручје,Унутрашње водене површине,Проценат,0.0
2021,Индекс планинског зеленог покривача,Преостало планинско подручје,Унутрашње водене површине,Проценат,0.0
2000,Индекс планинског зеленог покривача,Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Проценат,76.68
2005,Индекс планинског зеленог покривача,Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Проценат,76.83
2010,Индекс планинског зеленог покривача,Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Проценат,71.77
2015,Индекс планинског зеленог покривача,Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Проценат,69.6
2018,Индекс планинског зеленог покривача,Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Проценат,69.6
2021,Индекс планинског зеленог покривача,Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Проценат,69.6
2000,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине прекривене жбуњем,Проценат,50.64
2005,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине прекривене жбуњем,Проценат,37.22
2010,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине прекривене жбуњем,Проценат,36.41
2015,Индекс планинског зеленог покривача,Преостало планинско подручје,Површине прекривене жбуњем,Проценат,37.03
