Year,SERIES,Биоклиматски појас,Покривеност земљишта,UNIT_MEASURE,Value
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Трајни снијег и глечери,Квадратних километара,0.0
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Травнате површине,Квадратних километара,0.8
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Травнате површине,Квадратних километара,1.3
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Травнате површине,Квадратних километара,0.9
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Травнате површине,Квадратних километара,0.7
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Травнате површине,Квадратних километара,0.7
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Травнате површине,Квадратних километара,0.7
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,0.0
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,0.0
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,0.0
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,0.0
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,0.0
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,0.0
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Унутрашње водене површине,Квадратних километара,0.0
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Унутрашње водене површине,Квадратних километара,0.0
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Унутрашње водене површине,Квадратних километара,0.0
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Унутрашње водене површине,Квадратних километара,0.0
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Унутрашње водене површине,Квадратних километара,0.0
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Унутрашње водене површине,Квадратних километара,0.0
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Квадратних километара,13.2
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Квадратних километара,15.1
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Квадратних километара,16.5
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Квадратних километара,17.0
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Квадратних километара,17.0
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Индекс зеленог покривача планине(MGCI),Квадратних километара,17.0
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине прекривене жбуњем,Квадратних километара,8.69
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине прекривене жбуњем,Квадратних километара,7.3
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине прекривене жбуњем,Квадратних километара,8.4
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине прекривене жбуњем,Квадратних километара,9.1
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине прекривене жбуњем,Квадратних километара,9.1
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине прекривене жбуњем,Квадратних километара,9.1
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине са ријетком вегетацијом,Квадратних километара,3.9
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине са ријетком вегетацијом,Квадратних километара,4.4
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине са ријетком вегетацијом,Квадратних километара,6.4
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине са ријетком вегетацијом,Квадратних километара,7.4
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине са ријетком вегетацијом,Квадратних километара,7.4
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Површине са ријетком вегетацијом,Квадратних километара,7.4
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Неплодна земља,Квадратних километара,0.0
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Неплодна земља,Квадратних километара,0.0
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Неплодна земља,Квадратних километара,0.0
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Неплодна земља,Квадратних километара,0.0
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Неплодна земља,Квадратних километара,0.0
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Неплодна земља,Квадратних километара,0.0
2000,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Подручја покривена дрвећем,Квадратних километара,1.6
2005,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Подручја покривена дрвећем,Квадратних километара,4.5
2010,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Подручја покривена дрвећем,Квадратних километара,5.1
2015,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Подручја покривена дрвећем,Квадратних километара,5.2
2018,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Подручја покривена дрвећем,Квадратних километара,5.2
2021,Индекс планинског зеленог покривача (квадратних километара),Преостало планинско подручје,Подручја покривена дрвећем,Квадратних километара,5.2
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,Вјештачке површине,Квадратних километара,283.8
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,Вјештачке површине,Квадратних километара,311.9
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,Вјештачке површине,Квадратних километара,329.1
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,Вјештачке површине,Квадратних километара,337.9
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,Вјештачке површине,Квадратних километара,340.9
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,Вјештачке површине,Квадратних километара,344.0
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,Усјеви,Квадратних километара,10295.7
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,Усјеви,Квадратних километара,9716.1
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,Усјеви,Квадратних километара,9312.1
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,Усјеви,Квадратних километара,9159.7
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,Усјеви,Квадратних километара,9151.3
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,Усјеви,Квадратних километара,9142.9
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,Трајни снијег и глечери,Квадратних километара,0.0
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,Трајни снијег и глечери,Квадратних километара,0.0
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,Трајни снијег и глечери,Квадратних километара,0.0
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,Трајни снијег и глечери,Квадратних километара,0.0
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,Трајни снијег и глечери,Квадратних километара,0.0
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,Трајни снијег и глечери,Квадратних километара,0.0
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,Травнате површине,Квадратних километара,2458.4
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,Травнате површине,Квадратних километара,2875.1
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,Травнате површине,Квадратних километара,2880.5
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,Травнате површине,Квадратних километара,2842.8
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,Травнате површине,Квадратних километара,2844.1
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,Травнате површине,Квадратних километара,2845.4
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,18.9
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,21.9
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,22.6
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,22.6
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,22.6
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,22.6
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,Унутрашње водене површине,Квадратних километара,165.4
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,Унутрашње водене површине,Квадратних километара,160.2
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,Унутрашње водене површине,Квадратних километара,162.5
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,Унутрашње водене површине,Квадратних километара,164.3
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,Унутрашње водене површине,Квадратних километара,164.5
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,Унутрашње водене површине,Квадратних километара,164.5
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,Индекс зеленог покривача планине(MGCI),Квадратних километара,32958.5
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,Индекс зеленог покривача планине(MGCI),Квадратних километара,33188.1
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,Индекс зеленог покривача планине(MGCI),Квадратних километара,33774.2
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,Индекс зеленог покривача планине(MGCI),Квадратних километара,34019.9
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,Индекс зеленог покривача планине(MGCI),Квадратних километара,33995.5
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,Индекс зеленог покривача планине(MGCI),Квадратних километара,33971.0
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине прекривене жбуњем,Квадратних километара,720.3
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине прекривене жбуњем,Квадратних километара,811.1
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине прекривене жбуњем,Квадратних километара,1570.1
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине прекривене жбуњем,Квадратних километара,1939.8
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине прекривене жбуњем,Квадратних километара,1939.1
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине прекривене жбуњем,Квадратних километара,1938.4
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине са ријетком вегетацијом,Квадратних километара,543.9
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине са ријетком вегетацијом,Квадратних километара,578.3
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине са ријетком вегетацијом,Квадратних километара,735.4
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине са ријетком вегетацијом,Квадратних километара,816.2
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине са ријетком вегетацијом,Квадратних километара,821.9
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,Површине са ријетком вегетацијом,Квадратних километара,827.5
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,Неплодна земља,Квадратних километара,56.5
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,Неплодна земља,Квадратних километара,68.7
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,Неплодна земља,Квадратних километара,63.9
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,Неплодна земља,Квадратних километара,60.3
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,Неплодна земља,Квадратних километара,60.3
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,Неплодна земља,Квадратних километара,60.3
2000,Индекс планинског зеленог покривача (квадратних километара),Укупно,Подручја покривена дрвећем,Квадратних километара,19465.2
2005,Индекс планинског зеленог покривача (квадратних километара),Укупно,Подручја покривена дрвећем,Квадратних километара,19763.9
2010,Индекс планинског зеленог покривача (квадратних километара),Укупно,Подручја покривена дрвећем,Квадратних километара,19989.0
2015,Индекс планинског зеленог покривача (квадратних километара),Укупно,Подручја покривена дрвећем,Квадратних километара,20055.0
2018,Индекс планинског зеленог покривача (квадратних километара),Укупно,Подручја покривена дрвећем,Квадратних километара,20038.3
2021,Индекс планинског зеленог покривача (квадратних километара),Укупно,Подручја покривена дрвећем,Квадратних километара,20021.6
2000,Планинско подручје (квадратни километри),Планински,,Квадратних километара,33991.0
2005,Планинско подручје (квадратни километри),Планински,,Квадратних километара,34287.0
2010,Планинско подручје (квадратни километри),Планински,,Квадратних километара,35042.0
2015,Планинско подручје (квадратни километри),Планински,,Квадратних километара,35374.0
2018,Планинско подручје (квадратни километри),Планински,,Квадратних километара,35359.0
2021,Планинско подручје (квадратни километри),Планински,,Квадратних километара,35343.0
2000,Планинско подручје (квадратни километри),Преостало планинско подручје,,Квадратних километара,17.0
2005,Планинско подручје (квадратни километри),Преостало планинско подручје,,Квадратних километара,20.0
2010,Планинско подручје (квадратни километри),Преостало планинско подручје,,Квадратних километара,23.0
2015,Планинско подручје (квадратни километри),Преостало планинско подручје,,Квадратних километара,24.0
2018,Планинско подручје (квадратни километри),Преостало планинско подручје,,Квадратних километара,24.0
2021,Планинско подручје (квадратни километри),Преостало планинско подручје,,Квадратних километара,24.0
2000,Планинско подручје (квадратни километри),Укупно,,Квадратних километара,34008.0
2005,Планинско подручје (квадратни километри),Укупно,,Квадратних километара,34307.0
2010,Планинско подручје (квадратни километри),Укупно,,Квадратних километара,35065.0
2015,Планинско подручје (квадратни километри),Укупно,,Квадратних километара,35399.0
2018,Планинско подручје (квадратни километри),Укупно,,Квадратних километара,35383.0
2021,Планинско подручје (квадратни километри),Укупно,,Квадратних километара,35367.0
2015,Удио деградираног планинског земљишта (%),Планински,,Проценат,2.3
2018,Удио деградираног планинског земљишта (%),Планински,,Проценат,2.4
2021,Удио деградираног планинског земљишта (%),Планински,,Проценат,2.4
2015,Удио деградираног планинског земљишта (%),Преостало планинско подручје,,Проценат,18.0
2018,Удио деградираног планинског земљишта (%),Преостало планинско подручје,,Проценат,18.0
2021,Удио деградираног планинског земљишта (%),Преостало планинско подручје,,Проценат,18.0
2015,Удио деградираног планинског земљишта (%),Укупно,,Проценат,2.4
2018,Удио деградираног планинског земљишта (%),Укупно,,Проценат,2.4
2021,Удио деградираног планинског земљишта (%),Укупно,,Проценат,2.4
2015,Површина деградираног планинског земљишта (квадратни километри),Планински,,Квадратних километара,827.5
2018,Површина деградираног планинског земљишта (квадратни километри),Планински,,Квадратних километара,848.3
2021,Површина деградираног планинског земљишта (квадратни километри),Планински,,Квадратних километара,848.3
2015,Површина деградираног планинског земљишта (квадратни километри),Преостало планинско подручје,,Квадратних километара,4.4
2018,Површина деградираног планинског земљишта (квадратни километри),Преостало планинско подручје,,Квадратних километара,4.4
2021,Површина деградираног планинског земљишта (квадратни километри),Преостало планинско подручје,,Квадратних километара,4.4
2015,Површина деградираног планинског земљишта (квадратни километри),Укупно,,Квадратних километара,831.9
2018,Површина деградираног планинског земљишта (квадратни километри),Укупно,,Квадратних километара,852.7
2021,Површина деградираног планинског земљишта (квадратни километри),Укупно,,Квадратних километара,852.7
