Year,SERIES,UNIT_MEASURE,Пол,Value
2019,"Удио појединаца који посједују мобилни телефон, по полу (%)",Проценат,Оба пола,77.2
2020,"Удио појединаца који посједују мобилни телефон, по полу (%)",Проценат,Оба пола,82.4
2021,"Удио појединаца који посједују мобилни телефон, по полу (%)",Проценат,Оба пола,84.2
2022,"Удио појединаца који посједују мобилни телефон, по полу (%)",Проценат,Оба пола,85.7
2023,"Удио појединаца који посједују мобилни телефон, по полу (%)",Проценат,Оба пола,87.9
