Year,SERIES,UNIT_MEASURE,Привредна активност,Value
2000,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,148.84
2001,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,110.64
2002,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,89.28
2003,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,77.11
2004,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,68.84
2005,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,67.7
2006,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,63.24
2007,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,65.86
2008,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,66.22
2009,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,67.1
2010,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,59.15
2011,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,44.81
2012,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,35.35
2013,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,35.17
2014,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,44.6
2015,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,46.32
2016,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,44.38
2017,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,44.86
2018,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,42.47
2019,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,70.94
2020,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,53.08
2021,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Индустрије,63.54
2000,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),17.52
2001,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),18.14
2002,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),19.13
2003,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),20.33
2004,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),21.02
2005,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),21.77
2006,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),21.48
2007,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),23.82
2008,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),24.99
2009,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),25.01
2010,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),25.02
2011,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),25.92
2012,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),26.05
2013,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),26.93
2014,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),28.4
2015,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),28.49
2016,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),28.18
2017,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),28.67
2018,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),33.6
2019,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),35.68
2020,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),34.92
2021,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),36.62
2022,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Услуге (Г до Т),37.4
2020,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Пољопривреда (ISIC4 A01 A0210 A0322),
2020,Ефикасност коришћења воде (у америчким доларима по кубном метру),Амерички долар/m3,Без пођеле,
