Year,SERIES,UNIT_MEASURE,Привредна активност,Value
2009,Удио малих индустрија са кредитом или кредитном линијом,Проценат,Производња,59.31
2013,Удио малих индустрија са кредитом или кредитном линијом,Проценат,Производња,73.66
2019,Удио малих индустрија са кредитом или кредитном линијом,Проценат,Производња,44.38
2023,Удио малих индустрија са кредитом или кредитном линијом,Проценат,Производња,35.31
