Year,SERIES,UNIT_MEASURE,Value
2015,Сервисирања дуга као удио извоза роба и услуга,Проценат,7.3744
2016,Сервисирања дуга као удио извоза роба и услуга,Проценат,6.5353
2017,Сервисирања дуга као удио извоза роба и услуга,Проценат,7.4808
2018,Сервисирања дуга као удио извоза роба и услуга,Проценат,6.8636
2019,Сервисирања дуга као удио извоза роба и услуга,Проценат,6.0887
2020,Сервисирања дуга као удио извоза роба и услуга,Проценат,6.4808
2021,Сервисирања дуга као удио извоза роба и услуга,Проценат,4.8855
2022,Сервисирања дуга као удио извоза роба и услуга,Проценат,4.0473
2023,Сервисирања дуга као удио извоза роба и услуга,Проценат,7.6419
